"","predicted.id","prediction.score.Inhibitory.Vip","prediction.score.Inhibitory.Other","prediction.score.Inhibitory.Sst","prediction.score.Inhibitory.Pvalb","prediction.score.Endo","prediction.score.Other","prediction.score.Excitatory.L6","prediction.score.Excitatory.L2.3","prediction.score.Neuron.Other","prediction.score.Excitatory.L5","prediction.score.Excitatory.L4","prediction.score.Olig","prediction.score.Astro","prediction.score.Micro","prediction.score.Smc","prediction.score.max"
"19","Astro",0.167783692850552,0.188851282591694,0,0,0.188059689613733,0,0.00885589857541028,0,0,0,0,0,0.446449436368611,0,0,0.446449436368611
"20","Olig",0,0,0,0,0,0,0,0,0,0,0,0.886013315696004,0.113986684303996,0,0,0.886013315696004
"21","Olig",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"22","Olig",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"23","Excitatory L6",0,0,0,0.0197491964467253,0,0,0.980250803553275,0,0,0,0,0,0,0,0,0.980250803553275
"24","Inhibitory Sst",0.000558132909410837,0,0.807841970260267,0,0,0,0.185470716194562,0,0,0.00612918063576007,0,0,0,0,0,0.807841970260267
"25","Excitatory L6",0,0,0,0,0,0,0.803510508241987,0,0,0.196489491758013,0,0,0,0,0,0.803510508241987
"26","Excitatory L6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"27","Excitatory L5",0.00164715889009244,0.0474952914681683,0,0,0,0.064666488595202,0.0812564589481152,0.0203414889455094,0,0.758635023524122,0,0,0,0.0259580896287913,0,0.758635023524122
"28","Olig",0,0,0,0,0,0.0124526797187131,0.148709418586103,0,0.0180787936768279,0.00722030979039932,0,0.808554728677188,0,0.0049840695507682,0,0.808554728677188
"29","Endo",0,0,0,0,0.928037547217374,0.0112294710847603,0.00728368160458266,0.0437350188068009,0,0,0.0097142812864824,0,0,0,0,0.928037547217374
"30","Endo",0,0,0,0,0.969940317309576,0,0.0236211680372112,0.00140166018636716,0,0,0.00503685446684555,0,0,0,0,0.969940317309576
"31","Endo",0,0,0,0,0.893439664906102,0,0,0.0606565780987349,0,0,0.0459037569951632,0,0,0,0,0.893439664906102
"32","Endo",0,0,0,0,0.632202864323054,0.00528719498587475,0,0.2189086884977,0,0,0.14360125219337,0,0,0,0,0.632202864323054
"33","Excitatory L2/3",0,0,0,0,0.136562717049219,0,0.0917106614582142,0.709546961999093,0,0,0.0621796594934745,0,0,0,0,0.709546961999093
"34","Excitatory L2/3",0,0,0,0,0.0169683026658551,0,0.0308053641081043,0.736416352419978,0,0,0.215809980806063,0,0,0,0,0.736416352419978
"35","Endo",0,0,0,0.0173590827218839,0.560750652873399,0,0,0.303029821227741,0,0,0,0,0,0.118860443176976,0,0.560750652873399
"36","Endo",0,0,0,0,0.891678136549978,0,0,0.08200664315118,0,0,0.0181276716109871,0,0,0.00818754868785465,0,0.891678136549978
"37","Endo",0.00630611277294336,0.0813064363640136,0,0.03631813030781,0.638209381284065,0.122695685296923,0,0,0,0,0,0,0.115164253974245,0,0,0.638209381284065
"38","Excitatory L6",0,0.0111005467836928,0,0,0,0,0.560107117464633,0,0.0591829714076402,0.369609364344035,0,0,0,0,0,0.560107117464633
"39","Olig",0,0,0,0,0,0,0,0,0.0193123487492404,0,0,0.98068765125076,0,0,0,0.98068765125076
"40","Olig",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"41","Olig",0,0,0,0,0,0,0,0,0,0,0,0.980302516984993,0.019697483015007,0,0,0.980302516984993
"42","Excitatory L6",0,0,0.000387413528763877,0,0,0,0.980068002553179,0,0.0195445839180577,0,0,0,0,0,0,0.980068002553179
"43","Excitatory L6",0,0,0,0,0,0,0.940288123742051,0,0,0.0597118762579492,0,0,0,0,0,0.940288123742051
"44","Inhibitory Pvalb",0,0,0,0.816418798043685,0,0,0.162014101303483,0,0,0.0215671006528318,0,0,0,0,0,0.816418798043685
"45","Astro",0,0,0,0,0.0362084540776384,0.0522144538893154,0,0,0,0,0,0,0.911577092033046,0,0,0.911577092033046
"46","Astro",0,0,0,0.0586434018614868,0.0261472752437946,0.219741935908667,0,0,0.0107097016463709,0.0211423897684841,0,0.0886486181613519,0.530329231079818,0.0446374463300268,0,0.530329231079818
"47","Excitatory L5",0.0202650043710057,0.256168566268877,0.182896914501912,0,0,0,0.0653094338032311,0,0,0.475360081054974,0,0,0,0,0,0.475360081054974
"48","Excitatory L5",0.0892487863113351,0,0,0.00385427627118485,0,0,0,0,0,0.634663747499378,0.272233189918102,0,0,0,0,0.634663747499378
"49","Excitatory L4",0,0,0,0,0,0,0.00603975739084295,0,0,0.258373639528793,0.735586603080364,0,0,0,0,0.735586603080364
"50","Excitatory L4",0.0200393256092874,0,0.00755995703976427,0.0226850085102571,0,0,0.0391164912384169,0,0,0.195507436114103,0.715091781488171,0,0,0,0,0.715091781488171
"51","Excitatory L2/3",0.218822585409251,0,0,0.0323276473485595,0,0,0,0.467165167113314,0,0,0.281684600128875,0,0,0,0,0.467165167113314
"52","Inhibitory Pvalb",0.00374586657662532,0,0.31984463818531,0.601046663801298,0,0,0,0,0,0.0753628314367671,0,0,0,0,0,0.601046663801298
"53","Excitatory L4",0,0,0,0,0,0,0,0.210614754346521,0,0,0.789385245653479,0,0,0,0,0.789385245653479
"54","Inhibitory Sst",0,0,0.850996376237171,0.0856544626736233,0,0,0,0.0633491610892062,0,0,0,0,0,0,0,0.850996376237171
"55","Inhibitory Other",0.063417075092983,0.843433866428323,0,0,0.0792663272195476,0,0,0.00772613675806685,0,0,0,0,0.00615659450107965,0,0,0.843433866428323
"56","Astro",0,0,0,0,0.0150611977512635,0.022709365567836,0,0,0,0,0,0,0.962229436680901,0,0,0.962229436680901
"57","Excitatory L6",0.00373696476992298,0.015211602483156,0,0,0,0.0864940376881339,0.825244961195936,0,0.0113387019889988,0.0231158986586388,0,0,0,0.0348578332152139,0,0.825244961195936
"58","Olig",0,0,0,0,0.0425776482702501,0.146132131942639,0,0,0,0.0221767024613738,0,0.478739535275084,0.285143967909636,0.025230014141016,0,0.478739535275084
"59","Olig",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"60","Olig",0,0,0,0,0,0,4.27716372449474e-05,0,0.00113112601247642,4.27716372449474e-05,0,0.998783330713034,0,0,0,0.998783330713034
"61","Excitatory L6",0,0,0,0,0,0,0.998767521006313,0,0,0.00123247899368643,0,0,0,0,0,0.998767521006313
"62","Excitatory L6",0,0,0,0,0,0,0.986067404111132,0,0,0.0139325958888682,0,0,0,0,0,0.986067404111132
"63","Excitatory L6",0,0,0,0,0,0,0.826803402767675,0,0,0.173196597232325,0,0,0,0,0,0.826803402767675
"64","Excitatory L6",0,0,0,0,0,0,0.646738359561991,0,0,0.353261640438009,0,0,0,0,0,0.646738359561991
"65","Excitatory L5",0,0,0.136512210488936,0,0,0,0.191186445543786,0,0.00520992547191596,0.667091418495362,0,0,0,0,0,0.667091418495362
"66","Excitatory L5",0,0,0.0922222854511334,0.282963800884516,0,0,0,0.00257265349951754,0,0.622241260164833,0,0,0,0,0,0.622241260164833
"67","Excitatory L4",0,0,0,0,0.308745734120469,0,0,0,0,0.17137066511743,0.511800912280851,0,0,0.00808268848125018,0,0.511800912280851
"68","Excitatory L4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"69","Excitatory L4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"70","Excitatory L4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"71","Excitatory L2/3",0,0.0352743870362589,0,0.0509716073888882,0,0,0,0.573497891201236,0,0,0.340256114373617,0,0,0,0,0.573497891201236
"72","Inhibitory Pvalb",0.0591116969395824,0,0.0518791387283678,0.76840452374116,0,0,0,0.12060464059089,0,0,0,0,0,0,0,0.76840452374116
"73","Excitatory L2/3",0,0,0,0,0,0,0,0.985538092514505,0,0,0.0144619074854954,0,0,0,0,0.985538092514505
"74","Inhibitory Vip",0.694533976130845,0.108325374044459,0,0.170597838301701,0.0107627573056642,0,0,0,0,0,0,0,0.0157800542173307,0,0,0.694533976130845
"75","Astro",0.000875631568190832,0,0,0,0,0,0,0,0,0,0,0.10225105717122,0.89687331126059,0,0,0.89687331126059
"76","Inhibitory Other",0.00296757666890713,0.913040752884642,0.0306907307475154,0,0,0,0,0,0,0.0533009396989355,0,0,0,0,0,0.913040752884642
"77","Astro",0,0,0,0,0,0,0,0,0,0,0,0.291927379615658,0.708072620384343,0,0,0.708072620384343
"78","Olig",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"79","Olig",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"80","Excitatory L6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"81","Excitatory L6",0,0,0,0,0,0,0.999999999999999,0,0,0,0,0,0,0,0,0.999999999999999
"82","Astro",0.0254911617332941,0.00906319002648415,0,0.234505543782551,0.0947744808708656,0.152220955135592,0,0,0,0,0,0,0.483944668451214,0,0,0.483944668451214
"83","Inhibitory Pvalb",0.0176842271676011,0,0.0314633801549892,0.95085239267741,0,0,0,0,0,0,0,0,0,0,0,0.95085239267741
"84","Excitatory L6",0.0710158430435097,0,0,0.224278429623978,0.01968712878483,0.0818771765147934,0.597205817927236,0,0,0.00593560410565344,0,0,0,0,0,0.597205817927236
"85","Other",0,0,0,0,0.00367310080690519,0.476473859006563,0.248714130422292,0,0.00888941455099479,0.0566440999870424,0,0,0,0.205605395226202,0,0.476473859006563
"86","Inhibitory Sst",0,0,0.932327491815809,0.014153154620305,0,0,0,0,0,0.0216816882901873,0.0318376652736986,0,0,0,0,0.932327491815809
"87","Excitatory L4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"88","Excitatory L4",0,0,0,0,0,0,0,0,0,0.0127210025328097,0.98727899746719,0,0,0,0,0.98727899746719
"89","Excitatory L4",0,0,0,0,0,0,0,0.119269709068775,0,0,0.880730290931225,0,0,0,0,0.880730290931225
"90","Excitatory L2/3",0,0,0,0,0,0,0,0.887973040903015,0,0,0.112026959096985,0,0,0,0,0.887973040903015
"91","Inhibitory Other",0.0011129720162332,0.801846040325946,0,0,0,0,0.151887037753741,0.0329351956705352,0,0.0122187542335452,0,0,0,0,0,0.801846040325946
"92","Excitatory L2/3",0,0,0,0,0,0,0,0.972396344209054,0,0,0.0276036557909464,0,0,0,0,0.972396344209054
"93","Astro",0,0,0,0,0.010513149906567,0.0436046733295372,0,0,0,0,0,0.029165055768941,0.818827581622914,0.0978895393720409,0,0.818827581622914
"94","Olig",0,0,0,0,0.000413670251555741,0,0.136379042685394,0,0,0.00503072754593733,0,0.858129727161603,0,4.68323555097911e-05,0,0.858129727161603
"95","Inhibitory Other",0.151342733861449,0.640589873364829,0.00489444221696516,0,0,0,0.141152473195137,0,0.0262403307615233,0.0357801466000957,0,0,0,0,0,0.640589873364829
"96","Olig",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"97","Olig",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"98","Olig",0,0,0,0,0,0,0.0673582301278577,0,0.0558052057171978,0.000322949812191627,0,0.876513614342752,0,0,0,0.876513614342752
"99","Excitatory L6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"100","Inhibitory Pvalb",0,0,0.31734616423083,0.523122972741469,0,0,0.159530863027701,0,0,0,0,0,0,0,0,0.523122972741469
"101","Excitatory L6",0,0,0,0,0,0,0.970204191370567,0,0,0.0297958086294331,0,0,0,0,0,0.970204191370567
"102","Inhibitory Other",0,0.840380048869185,0.154131286263326,0.00548866486748912,0,0,0,0,0,0,0,0,0,0,0,0.840380048869185
"103","Inhibitory Pvalb",0,0,0.0674972525283411,0.857687695588462,0,0,0,0,0,0.0748150518831974,0,0,0,0,0,0.857687695588462
"104","Inhibitory Pvalb",0,0,0,0.978311918730255,0,0,0,0,0,0.0216880812697455,0,0,0,0,0,0.978311918730255
"105","Excitatory L5",0,0.147602545204963,0.320524072293266,0,0,0,0,0,0,0.335362299030386,0.196511083471384,0,0,0,0,0.335362299030386
"106","Excitatory L4",0,0,0.106168005712385,0.319373779323736,0,0,0,0,0,0,0.574458214963879,0,0,0,0,0.574458214963879
"107","Excitatory L4",0,0,0.00136123595757891,0.00408385242966763,0,0,0,0,0,0,0.994554911612754,0,0,0,0,0.994554911612754
"108","Excitatory L2/3",0.0332225072081888,0,0,0.0743977530066687,0,0,0,0.746156010316567,0,0,0.146223729468575,0,0,0,0,0.746156010316567
"109","Excitatory L4",0.0333601799049,0.168946909595337,0.0131875780491394,0.000265405078668002,0,0,0,0.0591335820034938,0,0,0.725106345368462,0,0,0,0,0.725106345368462
"110","Excitatory L2/3",0,0,0,0,0,0,0,0.962001161760675,0,0,0.0379988382393248,0,0,0,0,0.962001161760675
"111","Inhibitory Other",0,0.421070137339149,0.268175427603695,0,0,0,0.0997584354815905,0.124631922432121,0,0.0759079834895557,0.0104560936538894,0,0,0,0,0.421070137339149
"112","Endo",0,0.01096435442409,0,0,0.59549171337592,0.11921808576202,0,0,0,0,0,0.182860205534489,0.0914656409034809,0,0,0.59549171337592
"113","Inhibitory Pvalb",0,0.094617226912462,0,0.869641243821527,0.0181508711205947,0.0175906581454161,0,0,0,0,0,0,0,0,0,0.869641243821527
"114","Astro",0,0,0,0,0,0,0,0,0,0,0,0.319073681310719,0.680926318689281,0,0,0.680926318689281
"115","Olig",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"116","Excitatory L6",0,0,0.00110339895203466,0,0.0425708597599089,0,0.689679358128325,0,0.189255973055151,0.0725451430497033,0,0,0,0.00484526705487685,0,0.689679358128325
"117","Excitatory L6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"118","Excitatory L6",0,0,0,0,0,0,0.965626845080553,0,0,0.0343731549194475,0,0,0,0,0,0.965626845080553
"119","Excitatory L6",0,0,0,0,0,0,0.55781682282979,0,0,0.44218317717021,0,0,0,0,0,0.55781682282979
"120","Neuron Other",0,0,0.169603623223303,0,0,0,0.0515298484269743,0,0.486309221720444,0.0859874018677726,0,0.206569904761507,0,0,0,0.486309221720444
"121","Inhibitory Pvalb",0,0,0.0991711389627794,0.691204742815384,0,0,0,0,0,0.209624118221837,0,0,0,0,0,0.691204742815384
"122","Excitatory L5",0,0,0,0,0,0,0.0147998927787634,0,0,0.866014239826861,0.119185867394376,0,0,0,0,0.866014239826861
"123","Excitatory L4",0,0,0,0,0,0,0.0259834665633642,0,0,0.0555269615425938,0.918489571894042,0,0,0,0,0.918489571894042
"124","Inhibitory Sst",0,0,0.714009338561068,0,0,0,0.0288859354653693,0,0,0.0754567653979811,0.181647960575582,0,0,0,0,0.714009338561068
"125","Excitatory L2/3",0,0,0,0,0,0,0,0.885591132075316,0,0,0.114408867924684,0,0,0,0,0.885591132075316
"126","Inhibitory Vip",0.490448748460682,0,0,0.0445047479978047,0.114148561996894,0,0,0.337867046571847,0,0,0,0,0,0.0130308949727712,0,0.490448748460682
"127","Inhibitory Other",0,0.799762720379085,0.0304830230972838,0.169754256523631,0,0,0,0,0,0,0,0,0,0,0,0.799762720379085
"128","Excitatory L2/3",0,0.255094844661808,0.00221944759764478,0,0,0,0,0.737375712976502,0,0,0.00530999476404473,0,0,0,0,0.737375712976502
"129","Inhibitory Other",0.0254244044134397,0.646295891830693,0,0,0,0,0,0.294987048456492,0,0,0.0332926552993751,0,0,0,0,0.646295891830693
"130","Endo",0.0309622427494827,0,0,0,0.808257866722922,0.0193247425177809,0.0392464594234305,0,0.00148762462439455,0.000531528571010748,0,0,0,0.100189535390979,0,0.808257866722922
"131","Inhibitory Other",0,0.901270941574951,0.0744886487173882,0.00135361265540508,0,0,0.0228867970522565,0,0,0,0,0,0,0,0,0.901270941574951
"132","Inhibitory Sst",0,0.195549362552979,0.689035963578718,0.115414673868302,0,0,0,0,0,0,0,0,0,0,0,0.689035963578718
"133","Olig",0,0,0.135360049050853,0,0,0,0,0,0,0,0,0.864639950949147,0,0,0,0.864639950949147
"134","Olig",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"135","Olig",0,0,0,0,0,0,0.14598502187822,0,0.111926394055472,0.0108380528409644,0,0.731250531225343,0,0,0,0.731250531225343
"136","Excitatory L6",0,0,0,0.1299753899155,0,0,0.8700246100845,0,0,0,0,0,0,0,0,0.8700246100845
"137","Excitatory L6",0,0,0,0.00520110116959778,0,0,0.994798898830402,0,0,0,0,0,0,0,0,0.994798898830402
"138","Excitatory L6",0,0,0,0,0,0,0.972561372510365,0,0,0.0274386274896348,0,0,0,0,0,0.972561372510365
"139","Inhibitory Pvalb",0,0,0.0175808895400406,0.89007818521382,0,0,0,0,0,0.0923409252461397,0,0,0,0,0,0.89007818521382
"140","Inhibitory Pvalb",0,0,0.277535890021402,0.611512048184306,0,0,0.0280676913996417,0,0,0.0828843703946501,0,0,0,0,0,0.611512048184306
"141","Excitatory L6",0,0,0,0,0,0,0.64446507218709,0,0,0.263180994074638,0.0923539337382726,0,0,0,0,0.64446507218709
"142","Excitatory L4",0,0,0,0,0,0,0.00557676418934649,0,0,0.288553308569535,0.705869927241118,0,0,0,0,0.705869927241118
"143","Excitatory L4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"144","Excitatory L4",0,0,0,0,0,0,0,0.221168311046308,0,0,0.778831688953691,0,0,0,0,0.778831688953691
"145","Excitatory L2/3",0,0,0,0,0,0,0,0.985351922161729,0,0,0.0146480778382708,0,0,0,0,0.985351922161729
"146","Excitatory L2/3",0.00172918248265819,0.241651479960573,0,0,0,0,0,0.724302227467483,0,0,0.0323171100892855,0,0,0,0,0.724302227467483
"147","Excitatory L2/3",0,0,0,0,0,0,0,0.655298874549429,0,0,0.344701125450571,0,0,0,0,0.655298874549429
"148","Excitatory L2/3",0.0431477461621115,0,0,0,0,0,0.082981865449763,0.8527159157355,0,0,0.0211544726526254,0,0,0,0,0.8527159157355
"149","Other",0,0,0,0,0.196166417146216,0.481150405330953,0.0200316552767702,0,0,0,0,0,0.236672822547454,0.0659786996986071,0,0.481150405330953
"150","Astro",0,0,0,0,0.00325886280595681,0.0724867040235371,0,0,0,0,0,0.0124101778869015,0.911844255283604,0,0,0.911844255283604
"151","Olig",0,0,0,0,0,0,0,0,0,0,0,0.991594377136074,0.00840562286392664,0,0,0.991594377136074
"152","Olig",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"153","Olig",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"154","Excitatory L6",0,0,0,0,0,0,0.968375654591077,0,0.021144477772739,0.010479867636184,0,0,0,0,0,0.968375654591077
"155","Inhibitory Sst",0,0,0.822174657914635,0.0977865081997374,0,0,0.0423606669281357,0,0,0.0376781669574919,0,0,0,0,0,0.822174657914635
"156","Excitatory L6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"157","Inhibitory Pvalb",0,0,0.340550828200369,0.659449171799631,0,0,0,0,0,0,0,0,0,0,0,0.659449171799631
"158","Astro",0.0104446922827402,0,0,0,0,0,0.106760555077389,0,0,0.0124984722943637,0.0572015024638819,0,0.813094777881626,0,0,0.813094777881626
"159","Inhibitory Sst",0,0.0904057790051711,0.752797186655907,0.156797034338922,0,0,0,0,0,0,0,0,0,0,0,0.752797186655907
"160","Inhibitory Sst",0,0,0.638578065145647,0.0089256011365404,0,0,0.352496333717813,0,0,0,0,0,0,0,0,0.638578065145647
"161","Excitatory L4",0,0,0,0,0,0,0,0,0,0.0919775386878766,0.908022461312123,0,0,0,0,0.908022461312123
"162","Excitatory L4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"163","Excitatory L4",0,0,0,0,0,0,0,0.029385161009355,0,0,0.970614838990645,0,0,0,0,0.970614838990645
"164","Excitatory L2/3",0,0,0,0,0,0,0,0.878055258968311,0,0,0.121944741031688,0,0,0,0,0.878055258968311
"165","Excitatory L2/3",0.000145453252958957,0,0,0.0475698729630388,0,0,0,0.913042804506219,0,0,0.0392418692777828,0,0,0,0,0.913042804506219
"166","Excitatory L2/3",0.0602330639327163,0,0,0,0,0,0.0284925326145296,0.468884406956424,0,0,0.44238999649633,0,0,0,0,0.468884406956424
"167","Excitatory L2/3",0.00379777285507428,0,0.000806275293208539,0,0,0,0,0.96450485504436,0,0,0.0308910968073571,0,0,0,0,0.96450485504436
"168","Endo",0.0187050699877754,0.00978225984945514,0,0.00923693511262789,0.943363057585856,0.0189126774642855,0,0,0,0,0,0,0,0,0,0.943363057585856
"169","Other",0,0,0,0,0.00245172424972838,0.83265077375202,0,0,0,0,0,0.0411568999668255,0,0.123740602031426,0,0.83265077375202
"170","Olig",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"171","Olig",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"172","Olig",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"173","Neuron Other",0,0,0,0,0,0,0.476258335833244,0,0.523741664166756,0,0,0,0,0,0,0.523741664166756
"174","Excitatory L6",0,0,0,0,0,0,0.963506430911805,0,0,0.0364935690881953,0,0,0,0,0,0.963506430911805
"175","Excitatory L6",0,0,0,0,0.0037857495859551,0.015767788902738,0.338346982536834,0.317958621394183,0,0,0,0,0.32414085758029,0,0,0.338346982536834
"176","Inhibitory Pvalb",0,0,0.346278205387148,0.645977691514713,0,0,0.00774410309813947,0,0,0,0,0,0,0,0,0.645977691514713
"177","Excitatory L5",0.000779151922795386,0,0,0.0610572225513299,0,0,0.0295823479189185,0,0,0.908581277606956,0,0,0,0,0,0.908581277606956
"178","Inhibitory Sst",0,0,0.874482677670028,0.125517322329972,0,0,0,0,0,0,0,0,0,0,0,0.874482677670028
"179","Inhibitory Sst",0,0.0076237018233721,0.9559105016684,0,0,0,0,0,0,0,0.0364657965082277,0,0,0,0,0.9559105016684
"180","Excitatory L5",0,0,0,0,0,0,0.00682244251564803,0,0,0.74727713312014,0.245900424364213,0,0,0,0,0.74727713312014
"181","Excitatory L4",0,0,0,0,0,0,0.0747493976255383,0.011799994141041,0,0.162149434653178,0.751301173580242,0,0,0,0,0.751301173580242
"182","Excitatory L2/3",0,0,0,0,0,0,0.424674025351825,0.524690097774147,0,0.0254245914309984,0.0252112854430299,0,0,0,0,0.524690097774147
"183","Excitatory L2/3",0.0596052974044107,0,0,0,0,0,0,0.863549357988766,0,0,0.0768453446068231,0,0,0,0,0.863549357988766
"184","Inhibitory Other",0,0.934486783197897,0.0119021705136647,0.0536110462884381,0,0,0,0,0,0,0,0,0,0,0,0.934486783197897
"185","Excitatory L2/3",0,0,0,0,0,0,0.0119907332135917,0.977014572592253,0,0,0.0109946941941552,0,0,0,0,0.977014572592253
"186","Excitatory L6",0,0,0,0,0,0,0.60673686731656,0.0589824167770927,0,0.0783577332049184,0.255922982701429,0,0,0,0,0.60673686731656
"187","Astro",0,0,0,0,0.0866622960278536,0.238968351810986,0,0,0,0,0,0.124003727186201,0.550365624974959,0,0,0.550365624974959
"188","Other",0,0,0,0,0.00742584043082573,0.802466884912458,0.00158118021323917,0,0.00173393119325384,0,0,0,0,0.186792163250223,0,0.802466884912458
