,Inhibitory,Endo,Peri,ExcitatoryL5and6,ExcitatoryL2and3,CR,ExcitatoryL4,Olig,Astro,Micro,VLMC,Smc
14,3.8301785,0.11241166,0.03861034,2.597162,0.9599457,4.7758665e-05,0.9525168,0.06245311,0.19913316,0.061701708,0.032669567,0.01625261
15,2.992542,0.048127994,0.018154807,2.002798,0.65193087,1.6813946e-08,0.7588899,0.0328169,0.12899707,0.026694287,0.017167203,0.011604542
16,2.9798903,0.091353916,0.025672605,1.9974525,0.65292907,5.7147452e-05,0.8343834,0.057233177,0.2116494,0.04712537,0.033618677,0.014843664
17,4.3321943,0.1284996,0.03916118,2.9212298,0.98917496,0.00015573343,1.1005628,0.06057668,0.24121302,0.063940614,0.04702117,0.021635503
18,5.4768205,0.15337554,0.056717068,3.660606,1.1038386,8.254856e-05,1.6411512,0.07696403,0.24496397,0.06318032,0.04203419,0.021742681
19,1.9293866,0.022030659,0.008657303,1.0061338,0.27262318,2.1381563e-08,0.45944628,0.0030050413,0.04092859,0.0052966424,0.0017460911,0.0047238846
20,3.3601823,0.09829388,0.028828382,2.2779784,0.6811018,5.4779863e-05,1.0048507,0.046753068,0.15330426,0.040930413,0.024962617,0.014440338
21,6.660788,0.13249658,0.05235024,4.0772796,1.286906,4.0707706e-05,2.309275,0.07409216,0.23766533,0.066339105,0.044272598,0.01916911
22,3.1092253,0.07417875,0.025232764,2.4635885,0.80303884,7.615111e-05,1.0699803,0.04387079,0.1668274,0.05263154,0.031474877,0.017107364
23,4.283363,0.05975489,0.023969762,2.6096947,0.6715772,1.8319042e-05,1.3781261,0.026115622,0.250389,0.027578633,0.021938697,0.010848467
24,2.4709058,0.07906851,0.019201389,1.888612,0.5069308,0.00024053868,0.7974051,0.03983193,0.17074174,0.043591227,0.031454537,0.010706615
25,3.5126529,0.08649265,0.032265678,2.273445,0.70534587,3.097522e-05,0.9358341,0.052825153,0.19114742,0.04858156,0.03156846,0.016989198
26,2.3495035,0.06548123,0.02764843,1.7727574,0.55612165,4.1496933e-05,0.8845246,0.040937383,0.12000549,0.02796943,0.02313124,0.009965433
27,1.6858587,0.03234021,0.01143601,1.1670747,0.25855544,2.1501423e-08,0.5475293,0.014700678,0.07692696,0.017057246,0.008616166,0.006541629
28,3.1021838,0.082955815,0.018921057,1.9673121,0.63422096,0.00013372504,0.5427355,0.053419888,0.14653394,0.049836777,0.036148746,0.016325628
29,2.538022,0.090665214,0.045063898,1.4770503,0.4569849,2.59483e-05,0.49956527,0.046784464,0.14770287,0.051191792,0.033945043,0.015469901
30,4.025844,0.1667766,0.053586595,2.7745106,0.78542084,6.9913796e-05,0.79541206,0.09806009,0.20423204,0.06000906,0.04281799,0.01919835
31,2.5911098,0.05883628,0.011663235,1.6366429,0.36126053,9.471779e-05,0.4234103,0.034502402,0.13010691,0.03175516,0.017489549,0.011433275
32,2.2807856,0.09003838,0.018599706,1.7251728,0.48522782,9.4635834e-05,0.5342317,0.047687244,0.14277306,0.035661083,0.027835473,0.01583481
33,3.9137657,0.1311139,0.0370171,3.2172155,0.8308355,8.171565e-05,0.80978554,0.074726135,0.22755393,0.056432016,0.04225357,0.019213993
34,3.25099,0.10159798,0.03048341,2.4945664,0.5765183,0.00027333162,0.7333861,0.053498395,0.24040681,0.047935385,0.038893748,0.013535656
35,1.4762983,0.039348263,0.0073996903,1.062017,0.25071695,7.954234e-07,0.33253747,0.021138621,0.06430085,0.021046218,0.018743718,0.0076942723
36,1.2930025,0.044233587,0.022688465,0.97417384,0.28430453,4.922678e-05,0.29979295,0.026539726,0.08329558,0.021683332,0.01726605,0.011733169
37,5.9769073,0.18823405,0.051717278,4.7816863,1.3130226,0.00020604373,1.3945419,0.0977273,0.35808027,0.09255361,0.06568672,0.037332088
38,2.8178034,0.07733691,0.029636797,2.436163,0.5729662,0.00012792581,0.7848631,0.049908705,0.20982641,0.038204763,0.024591215,0.016696572
39,2.440151,0.05526957,0.023958912,1.6378154,0.44910046,7.7778815e-05,0.5150552,0.036116816,0.10050631,0.034459975,0.023208033,0.008882713
40,3.9320264,0.14436895,0.039639052,3.0076675,0.8750926,0.00048493716,1.0097212,0.16234462,0.25349784,0.07957141,0.052371357,0.025368968
41,2.506888,0.085803084,0.026024047,1.972329,0.38954443,2.211401e-05,0.552053,0.04100103,0.14928128,0.030044172,0.020865304,0.014272058
42,4.969435,0.12817967,0.046269137,4.0170183,0.9674777,0.00021749771,1.0822195,0.15112747,0.3382924,0.06571942,0.035308998,0.02348657
43,1.2804599,0.03288876,0.003412642,0.42644656,0.1693309,3.144441e-05,0.14955987,0.014001057,0.054918468,0.018988034,0.01516544,0.003512211
44,3.1237795,0.10993482,0.030638324,2.350944,0.59008235,0.00015687472,0.7578106,0.055235684,0.15968563,0.048269268,0.034211975,0.013482895
45,4.587508,0.15499482,0.053720903,3.681043,0.92752254,0.0002023839,0.9764536,0.06995182,0.2209456,0.067405544,0.047438662,0.01835801
46,4.0113397,0.1370861,0.035587437,3.3945389,0.8125406,0.00020574975,0.95176774,0.07427932,0.20866966,0.06907199,0.045780774,0.019887833
47,2.4526055,0.0708548,0.019246044,2.1033285,0.62853986,0.00013917999,0.5493529,0.04545671,0.17903638,0.038803197,0.027176913,0.011214945
48,0.8862575,0.032761708,0.0040270006,0.689465,0.12471771,6.988037e-05,0.17776868,0.019694626,0.049227554,0.014848932,0.011873172,0.0053945696
49,0.39911452,0.015709972,0.000874239,0.3468292,0.099993795,8.5310465e-05,0.103452414,0.011263097,0.023565281,0.007994555,0.0055221673,0.00094378897
50,0.38939673,0.008887011,0.00088364154,0.362042,0.07949087,3.2497614e-05,0.113316245,0.00858261,0.04253748,0.008226932,0.005556579,0.0017492879
51,3.7495344,0.11212688,0.034207568,3.0335047,0.69470114,5.4102282e-05,0.86936647,0.09734662,0.24403581,0.056346532,0.03704806,0.020846408
52,4.963711,0.14931685,0.046672925,3.6389287,0.92301285,0.00082507613,0.970286,0.06911651,0.28998464,0.06936862,0.044499256,0.027550505
53,4.6955194,0.11102179,0.06018935,4.318793,0.89825463,0.000119343735,1.0795789,0.11476904,0.23084435,0.066037744,0.04623007,0.020819739
54,7.3652105,0.14598462,0.09189344,4.8884697,1.2450114,5.0783947e-05,1.5962646,0.0858206,0.37497947,0.07708836,0.051435884,0.02615273
55,2.6486573,0.0916824,0.027786037,1.6505758,0.4556369,0.00023194606,0.5601895,0.056029417,0.17347726,0.05148973,0.03740407,0.017779479
56,5.4585137,0.13917173,0.039491985,3.7300348,0.9725018,3.6659167e-05,1.0492436,0.15759252,0.25856793,0.075988345,0.044093747,0.024282647
57,1.2310723,0.031902734,0.014059322,1.0157578,0.334547,5.2063177e-05,0.2984313,0.022314552,0.06632676,0.0185768,0.013958986,0.006972363
58,1.343402,0.025561802,0.0072125834,0.94180083,0.22123209,0.00011658843,0.24959075,0.07574171,0.05095504,0.015615373,0.012326672,0.0053827534
59,3.5515175,0.08067488,0.035887595,2.5644274,0.62749356,9.4866395e-05,0.5880406,0.051014144,0.15592818,0.046030972,0.021198109,0.012048829
60,3.9057817,0.1248148,0.044268236,3.670075,0.7589462,9.109624e-05,0.81790906,0.06841064,0.28512377,0.060959656,0.032568544,0.026708493
61,3.924614,0.1176204,0.033314355,3.042027,0.6408825,9.798745e-05,0.7883561,0.08382879,0.20877427,0.048547536,0.03923015,0.017669026
62,4.265087,0.12477369,0.03753592,3.4920502,0.8329864,0.00014108726,0.9298893,0.11290915,0.25050804,0.06436759,0.048610076,0.026066627
63,4.2155557,0.099699356,0.04331909,3.150103,0.6845036,3.0479594e-06,0.9009821,0.052517876,0.20021091,0.054693017,0.032402664,0.017365495
64,2.0123,0.052439086,0.014434828,1.8409117,0.34551555,7.332354e-05,0.44115612,0.029449753,0.15507379,0.02546347,0.01865805,0.011707492
65,2.6942365,0.08262462,0.014780492,1.8308009,0.3424914,1.3491303e-05,0.50401074,0.043842312,0.14147359,0.028158743,0.0218364,0.012003252
66,5.3470373,0.16149634,0.042585272,3.9505205,0.9453943,0.00013673076,1.0016685,0.21652618,0.3122502,0.07551377,0.06319277,0.028995715
67,5.519068,0.11630327,0.040330365,3.633827,0.6984025,3.1413492e-05,0.8679513,0.19701028,0.26720977,0.05372185,0.034698468,0.019611597
68,0.41377026,0.02069141,0.005079461,0.3284601,0.042137552,1.12444326e-07,0.07100487,0.010279244,0.0827938,0.002313111,0.004369556,0.0005414296
69,0.9092958,0.014707866,0.012128515,0.5743915,0.129439,1.5012954e-07,0.13638046,0.048655007,0.084801175,0.0075580226,0.0047623822,0.002120891
70,0.3985585,0.005284751,0.0048794877,0.36984968,0.0633208,7.609526e-08,0.06821767,0.037201792,0.027598895,0.0043909955,0.0012653321,0.00072573277
71,0.48487386,0.0014059356,0.0025269806,0.33183855,0.0492874,2.1525931e-08,0.07063593,0.000374651,0.015074996,0.00032373308,4.5364784e-05,0.0005200163
