,predicted.id,prediction.score.Inhibitory,prediction.score.Endo,prediction.score.VLMC,prediction.score.ExcitatoryL5and6,prediction.score.ExcitatoryL2and3,prediction.score.Peri,prediction.score.ExcitatoryL4,prediction.score.Olig,prediction.score.Astro,prediction.score.Micro,prediction.score.Smc,prediction.score.max
19,ExcitatoryL4,0.148217091420234,0.0945099246808041,0,0.0316994567521381,0.0532235452749911,0,0.672349981871833,0,0,0,0,0.672349981871833
20,ExcitatoryL4,0.224959311656314,0.0206795189855809,0,0.265202444529871,0,0,0.395132438968665,0.0940262858595689,0,0,0,0.395132438968665
21,Inhibitory,0.341880780977035,0.0830344743214679,0,0.211437350323853,0.0546100896093614,0,0.309037304768283,0,0,0,0,0.341880780977035
22,ExcitatoryL4,0.0167737563094978,0,0,0.196738172120189,0.0119603231607072,0,0.707026972559134,0.0675007758504719,0,0,0,0.707026972559134
23,ExcitatoryL4,0.0134674256927361,0,0,0.256064043119076,0.00280067672033772,0,0.616937346704913,0.109941394414854,0,0.000789113348083814,0,0.616937346704913
24,Astro,0.00725997178550985,0,0,0.0313400110666224,0,0,0.0412621609271359,0.00475853892832705,0.914859870134012,0.000519447158393382,0,0.914859870134012
25,ExcitatoryL4,0.0782499888072914,0,0,0.299963661452828,0.0712255635890008,0,0.390501973898045,0.0997316250699382,0.0603271871828962,0,0,0.390501973898045
26,Inhibitory,0.446155260892515,0,0,0.107273552525075,0.0134601019164253,0.203263608130695,0.0575816083762258,0,0.168278864909814,0.00398700324924999,0,0.446155260892515
27,ExcitatoryL4,0.0420244439806796,0,0,0.296531292542274,0.0546309719311192,0,0.517767746469688,0.0890455450762395,0,0,0,0.517767746469688
28,ExcitatoryL4,0.260050366795178,0,0,0.108775422339169,0,0,0.552387597281406,0.0760006945057695,0,0.00278591907847753,0,0.552387597281406
29,Inhibitory,0.650852170206588,0,0,0.128716294780201,0.14420179576315,0,0.000279708892444617,0.075950030357617,0,0,0,0.650852170206588
30,Inhibitory,0.66392198401537,0,0,0.075267668081446,0.00111422759151141,0,0.0101916592440538,0.156626015692206,0.0861234401050121,0.00675500527039993,0,0.66392198401537
31,Inhibitory,0.46431894769033,0.237546391335177,0,0.181038685274586,0.00228094725891491,0,0.112600548006051,0.00221448043494146,0,0,0,0.46431894769033
32,Inhibitory,0.792962597318434,0,0,0.0587752678580479,0.0105177628714909,0,0.00742552976435302,0.130318842187674,0,0,0,0.792962597318434
33,ExcitatoryL5and6,0.217106108491892,0.0512666873406332,0,0.551453777524293,0.131867083576724,0,0.036129643599212,0.0121766994672455,0,0,0,0.551453777524293
34,ExcitatoryL5and6,0.0348082204385594,0,0,0.906749992033906,0.0123424960978191,0,0.00816094971270892,0.0379383417170069,0,0,0,0.906749992033906
35,ExcitatoryL5and6,0.00276237674303404,0.00128200626242218,0,0.838103343659967,4.91532973878225e-05,0,0.0441473640749158,0.00109040294551093,0.112565353016762,0,0,0.838103343659967
36,ExcitatoryL5and6,0.0346949984836821,0.0158904444698018,0,0.916623430343601,0.0165597206491384,0,0.000554709596431278,0.0156766964573453,0,0,0,0.916623430343601
37,ExcitatoryL5and6,0.410258691808987,0,0,0.556453795996638,0,0,0.0319648085448075,0,0,0.00132270364956787,0,0.556453795996638
38,ExcitatoryL5and6,0.0287891677884426,0,0,0.843636215399725,0.0870768600154731,0,0.00756975712385626,0.0329279996725029,0,0,0,0.843636215399725
39,ExcitatoryL5and6,0.00704906663493197,0,0,0.769068163017857,0.011583607819214,0,0.112923517269262,0.0872999765972359,0.0120756686614992,0,0,0.769068163017857
40,Inhibitory,0.820958591288984,0,0,0.102962056104599,0,0,0.0301742392032201,0.0419840895182166,0,0.00392102388498006,0,0.820958591288984
41,ExcitatoryL5and6,0.0461146405384546,0,0,0.610241157550246,0.0136171651563011,0,0,0.330027036754998,0,0,0,0.610241157550246
42,ExcitatoryL5and6,0.259039039428306,0,0,0.583719965326551,0.011148132120781,0,0,0.106072193266119,0.0400206698582438,0,0,0.583719965326551
43,ExcitatoryL5and6,0.00700335467524603,0,0,0.574708550955524,0.0300227741620661,0,0.00648976518354104,0.259877799370345,0.121897755653278,0,0,0.574708550955524
44,Inhibitory,0.898684737216844,0.000663308745440901,0,0.0145414095749406,0.00932523440633368,0,0.00502967971670468,0.0677260887497293,0,0.00402954159000736,0,0.898684737216844
45,Inhibitory,0.720162498378349,0,0,0.161696210179459,0.0735813616682625,0,0.0445599297739294,0,0,0,0,0.720162498378349
46,ExcitatoryL5and6,0.245963675260693,0,0,0.534305145620524,0,0,0.184163517435536,0.0342198109757073,0.00134785070753889,0,0,0.534305145620524
47,ExcitatoryL5and6,0.117186765349807,0,0,0.850828014376379,0,0,0.0315718178924734,0,0,0.000413402381340849,0,0.850828014376379
48,ExcitatoryL5and6,0.109057459300125,0,0,0.761893636743122,0.0243446706607771,0,0.0428540676973713,0,0.0618501655986036,0,0,0.761893636743122
49,ExcitatoryL5and6,0.344126164223505,0,0,0.406975409016485,0,0,0.0167224051108328,0.229324963242115,0.00285105840706257,0,0,0.406975409016485
50,ExcitatoryL5and6,0.348106547873327,0,0,0.422483120587959,0.0481289723521457,0,0.00570442688598845,0.17557693230058,0,0,0,0.422483120587959
51,ExcitatoryL5and6,0.229274309711761,0,0,0.503325900138221,0.040804750655759,0,0.0208279638051145,0.135804063215167,0.0699630124739778,0,0,0.503325900138221
52,ExcitatoryL5and6,0.215309345447887,0,0,0.400645516654793,0.0725026127429017,0,0.000150462997921193,0.311392062156498,0,0,0,0.400645516654793
53,Inhibitory,0.44855103526618,0,0,0.0801068301824753,0.141692341987791,0,0.0107750169531108,0.154029547761393,0.16484522784905,0,0,0.44855103526618
54,ExcitatoryL5and6,0.0493048897636587,0,0,0.908091459322627,0.0151489436624621,0,0.00715322492787641,0.0203014823233757,0,0,0,0.908091459322627
55,Other,0.0221790489235336,0,0.48846162238312,0.200734396503749,0.0171749131281612,0,0.00334725479215961,0.0720315556485957,0.192494414689169,0.00357679393151144,0,0.48846162238312
56,Inhibitory,0.682811000697676,0,0,0.240223827686662,0.0580200295681654,0,0.018945142047496,0,0,0,0,0.682811000697676
57,Inhibitory,0.658650007648342,0,0,0.175182662166466,0.040756317541085,0,0,0.125411012644107,0,0,0,0.658650007648342
58,ExcitatoryL5and6,0.194143234325268,0,0,0.62137611073489,0.0415272952069718,0,0.014558666204513,0.126971622086652,0,0.00142307144170473,0,0.62137611073489
59,Olig,0.018406513173508,0,0,0.046667278285071,0.00109351973602716,0,0,0.933832688805394,0,0,0,0.933832688805394
60,Inhibitory,0.393471137690464,0,0,0.238843289637471,0.0912597228784368,0.0766266719971446,0.0446926390961862,0.150409177545517,0,0.0046973611547808,0,0.393471137690464
61,ExcitatoryL5and6,0.000546783629240413,0,0,0.831039293962553,0.0123468442897312,0,0.00269754968213683,0,0.150523094426076,0.00284643401026216,0,0.831039293962553
62,Inhibitory,0.456372288733642,0,0,0.368267490872843,0.0728199680911811,0,0.0114727073686805,0.0776957933048087,0.0133717516288453,0,0,0.456372288733642
63,ExcitatoryL5and6,0.0523141086588293,0.0191907849002504,0,0.904125885654731,0,0,0.0243692207861889,0,0,0,0,0.904125885654731
64,ExcitatoryL5and6,0.124273182707412,0,0,0.760119054890925,0,0,0.0725683135978241,0,0,0.0430394488038392,0,0.760119054890925
65,ExcitatoryL5and6,0.0162260775087474,0,0,0.966588855406409,0,0,0.013900932742885,0,0,0.00328413434195846,0,0.966588855406409
66,ExcitatoryL5and6,0.129926311205906,0,0,0.749147460071827,0.0256156866380498,0,0.0112902321263062,0,0.083172560925678,0.000847749032232892,0,0.749147460071827
67,ExcitatoryL5and6,0.0245030048850953,0.0110874676732564,0,0.816332625237689,0.0100426037130477,0,0.00553152382111613,0.132502774669796,0,0,0,0.816332625237689
68,ExcitatoryL5and6,0.0114395042316661,0,0,0.642890341894671,0,0,0.00865564840209507,0.336154115482576,0,0.000860389988992686,0,0.642890341894671
69,Astro,0.0987058975332735,0.0244918332904842,0,0.0659017092007286,0,0,0.00216459438551916,0.207708142436153,0.600324974445466,0.000702848708376049,0,0.600324974445466
70,Olig,0.0817883180413784,0,0,0.04293304948944,0,0,0.00319346001890107,0.740463508710727,0.131621663739554,0,0,0.740463508710727
71,Olig,0.201636337453204,0,0,0.129042278194822,0,0,0.00358515283138549,0.660654611753526,0.00508161976706241,0,0,0.660654611753526
72,Inhibitory,0.505470695922116,0,0,0.26723695200346,0,0,0.00908054991138764,0.212245245513429,0.00499938089340648,0.000967175756202049,0,0.505470695922116
