	louvain	celltype
248	4	ExcitatoryL5and6
249	18	ExcitatoryL5and6
250	18	ExcitatoryL5and6
251	18	ExcitatoryL5and6
252	2	Endo
253	19	Astro
254	18	ExcitatoryL5and6
255	19	Astro
256	10	Astro
257	9	ExcitatoryL2and3
258	13	ExcitatoryL2and3
259	18	ExcitatoryL5and6
260	7	Inhibitory
261	17	Neuroblasts
262	18	ExcitatoryL5and6
263	2	Endo
264	23	Inhibitory
265	2	Endo
266	23	Inhibitory
267	23	Inhibitory
268	18	ExcitatoryL5and6
269	18	ExcitatoryL5and6
270	16	Olig
271	11	ExcitatoryL5and6
272	11	ExcitatoryL5and6
273	5	ExcitatoryL5and6
274	23	Inhibitory
275	19	Astro
276	18	ExcitatoryL5and6
277	13	ExcitatoryL2and3
278	7	Inhibitory
279	13	ExcitatoryL2and3
280	5	ExcitatoryL5and6
281	2	Endo
282	10	Astro
283	13	ExcitatoryL2and3
284	8	NSC
285	18	ExcitatoryL5and6
286	5	ExcitatoryL5and6
287	10	Astro
288	5	ExcitatoryL5and6
289	20	Micro
290	19	Astro
291	4	ExcitatoryL5and6
292	9	ExcitatoryL2and3
293	23	Inhibitory
294	9	ExcitatoryL2and3
295	8	NSC
296	2	Endo
297	10	Astro
298	18	ExcitatoryL5and6
299	12	Neuroblast
300	5	ExcitatoryL5and6
301	25	OPC
302	23	Inhibitory
303	18	ExcitatoryL5and6
304	13	ExcitatoryL2and3
305	16	Olig
306	13	ExcitatoryL2and3
307	12	Neuroblast
308	8	NSC
309	23	Inhibitory
310	8	NSC
311	18	ExcitatoryL5and6
312	18	ExcitatoryL5and6
313	23	Inhibitory
314	2	Endo
315	25	OPC
316	11	ExcitatoryL5and6
317	5	ExcitatoryL5and6
318	2	Endo
319	5	ExcitatoryL5and6
320	5	ExcitatoryL5and6
321	4	ExcitatoryL5and6
322	4	ExcitatoryL5and6
323	4	ExcitatoryL5and6
324	5	ExcitatoryL5and6
325	10	Astro
326	5	ExcitatoryL5and6
327	2	Endo
328	5	ExcitatoryL5and6
329	23	Inhibitory
330	20	Micro
331	16	Olig
332	5	ExcitatoryL5and6
333	20	Micro
334	4	ExcitatoryL5and6
335	10	Astro
336	5	ExcitatoryL5and6
337	5	ExcitatoryL5and6
338	4	ExcitatoryL5and6
339	10	Astro
340	16	Olig
341	4	ExcitatoryL5and6
342	26	Non-known
343	5	ExcitatoryL5and6
344	20	Micro
345	4	ExcitatoryL5and6
346	10	Astro
347	4	ExcitatoryL5and6
348	11	ExcitatoryL5and6
349	2	Endo
350	4	ExcitatoryL5and6
351	4	ExcitatoryL5and6
352	4	ExcitatoryL5and6
353	2	Endo
354	5	ExcitatoryL5and6
355	5	ExcitatoryL5and6
356	6	ExcitatoryL4
357	10	Astro
358	7	Inhibitory
359	5	ExcitatoryL5and6
360	2	Endo
361	2	Endo
362	4	ExcitatoryL5and6
363	4	ExcitatoryL5and6
364	19	Astro
365	11	ExcitatoryL5and6
366	16	Olig
367	6	ExcitatoryL4
368	11	ExcitatoryL5and6
369	4	ExcitatoryL5and6
370	4	ExcitatoryL5and6
371	4	ExcitatoryL5and6
372	7	Inhibitory
373	4	ExcitatoryL5and6
374	5	ExcitatoryL5and6
375	4	ExcitatoryL5and6
376	4	ExcitatoryL5and6
377	4	ExcitatoryL5and6
378	4	ExcitatoryL5and6
379	2	Endo
380	5	ExcitatoryL5and6
381	23	Inhibitory
382	5	ExcitatoryL5and6
383	5	ExcitatoryL5and6
384	2	Endo
385	4	ExcitatoryL5and6
386	11	ExcitatoryL5and6
387	11	ExcitatoryL5and6
388	14	NSC
389	5	ExcitatoryL5and6
390	11	ExcitatoryL5and6
391	5	ExcitatoryL5and6
392	9	ExcitatoryL2and3
393	23	Inhibitory
394	18	ExcitatoryL5and6
395	6	ExcitatoryL4
396	5	ExcitatoryL5and6
397	19	Astro
398	2	Endo
399	5	ExcitatoryL5and6
400	18	ExcitatoryL5and6
401	4	ExcitatoryL5and6
402	4	ExcitatoryL5and6
403	2	Endo
404	4	ExcitatoryL5and6
405	4	ExcitatoryL5and6
406	4	ExcitatoryL5and6
407	2	Endo
408	5	ExcitatoryL5and6
409	16	Olig
410	13	ExcitatoryL2and3
411	23	Inhibitory
412	4	ExcitatoryL5and6
413	4	ExcitatoryL5and6
414	11	ExcitatoryL5and6
415	18	ExcitatoryL5and6
416	11	ExcitatoryL5and6
417	11	ExcitatoryL5and6
418	5	ExcitatoryL5and6
419	5	ExcitatoryL5and6
420	4	ExcitatoryL5and6
421	18	ExcitatoryL5and6
422	16	Olig
423	10	Astro
424	16	Olig
425	16	Olig
426	10	Astro
427	25	OPC
428	16	Olig
429	2	Endo
430	16	Olig
431	25	OPC
432	2	Endo
433	16	Olig
434	5	ExcitatoryL5and6
435	4	ExcitatoryL5and6
436	4	ExcitatoryL5and6
437	2	Endo
438	5	ExcitatoryL5and6
439	5	ExcitatoryL5and6
440	11	ExcitatoryL5and6
441	4	ExcitatoryL5and6
442	2	Endo
443	11	ExcitatoryL5and6
444	4	ExcitatoryL5and6
445	18	ExcitatoryL5and6
446	4	ExcitatoryL5and6
447	25	OPC
448	11	ExcitatoryL5and6
449	5	ExcitatoryL5and6
450	20	Micro
451	5	ExcitatoryL5and6
452	16	Olig
453	11	ExcitatoryL5and6
454	11	ExcitatoryL5and6
455	2	Endo
456	11	ExcitatoryL5and6
457	5	ExcitatoryL5and6
458	10	Astro
459	10	Astro
460	2	Endo
461	2	Endo
462	4	ExcitatoryL5and6
463	5	ExcitatoryL5and6
464	4	ExcitatoryL5and6
465	4	ExcitatoryL5and6
466	11	ExcitatoryL5and6
467	4	ExcitatoryL5and6
468	4	ExcitatoryL5and6
469	4	ExcitatoryL5and6
470	5	ExcitatoryL5and6
471	5	ExcitatoryL5and6
472	20	Micro
473	4	ExcitatoryL5and6
474	4	ExcitatoryL5and6
475	4	ExcitatoryL5and6
476	4	ExcitatoryL5and6
477	4	ExcitatoryL5and6
478	13	ExcitatoryL2and3
479	6	ExcitatoryL4
480	18	ExcitatoryL5and6
481	2	Endo
482	11	ExcitatoryL5and6
483	2	Endo
484	18	ExcitatoryL5and6
485	25	OPC
486	10	Astro
487	16	Olig
488	11	ExcitatoryL5and6
489	16	Olig
490	10	Astro
491	5	ExcitatoryL5and6
492	11	ExcitatoryL5and6
493	11	ExcitatoryL5and6
494	5	ExcitatoryL5and6
495	7	Inhibitory
496	10	Astro
497	4	ExcitatoryL5and6
498	4	ExcitatoryL5and6
499	22	Ependymal
500	11	ExcitatoryL5and6
501	12	Neuroblast
502	4	ExcitatoryL5and6
503	5	ExcitatoryL5and6
504	10	Astro
505	25	OPC
506	25	OPC
507	5	ExcitatoryL5and6
508	7	Inhibitory
509	16	Olig
510	5	ExcitatoryL5and6
511	10	Astro
512	11	ExcitatoryL5and6
513	5	ExcitatoryL5and6
514	5	ExcitatoryL5and6
515	19	Astro
516	5	ExcitatoryL5and6
517	5	ExcitatoryL5and6
518	4	ExcitatoryL5and6
519	4	ExcitatoryL5and6
520	11	ExcitatoryL5and6
521	11	ExcitatoryL5and6
522	5	ExcitatoryL5and6
523	8	NSC
