	Cluster	celltype
222	11	Endo
223	11	Endo
224	2	ExcitatoryL6
225	13	Astro
226	4	ExcitatoryL5
227	8	Sst
228	7	Pvalb
229	1	ExcitatoryL2and3
230	13	Astro
231	11	Endo
232	11	Endo
233	1	ExcitatoryL2and3
234	11	Endo
235	1	ExcitatoryL2and3
236	14	Other
237	11	Endo
238	11	Endo
239	11	Endo
240	11	Endo
241	13	Astro
242	1	ExcitatoryL2and3
243	10	Olig
244	3	ExcitatoryL6
245	1	ExcitatoryL2and3
246	1	ExcitatoryL2and3
247	13	Astro
248	1	ExcitatoryL2and3
249	2	ExcitatoryL6
250	11	Endo
251	4	ExcitatoryL5
252	2	ExcitatoryL6
253	11	Endo
254	10	Olig
255	4	ExcitatoryL5
256	10	Olig
257	3	ExcitatoryL6
258	2	ExcitatoryL6
259	13	Astro
260	2	ExcitatoryL6
261	1	ExcitatoryL2and3
262	11	Endo
263	2	ExcitatoryL6
264	10	Olig
265	11	Endo
266	10	Olig
267	6	Vip
268	3	ExcitatoryL6
269	2	ExcitatoryL6
270	14	Other
271	10	Olig
272	2	ExcitatoryL6
273	11	Endo
274	11	Endo
275	10	Olig
276	11	Endo
277	1	ExcitatoryL2and3
278	10	Olig
279	13	Astro
280	1	ExcitatoryL2and3
281	4	ExcitatoryL5
282	13	Astro
283	11	Endo
284	11	Endo
285	10	Olig
286	11	Endo
287	11	Endo
288	8	Sst
289	1	ExcitatoryL2and3
290	11	Endo
291	10	Olig
292	0	ExcitatoryL4
293	12	Micro
294	10	Olig
295	2	ExcitatoryL6
296	1	ExcitatoryL2and3
297	11	Endo
298	11	Endo
299	1	ExcitatoryL2and3
300	2	ExcitatoryL6
301	11	Endo
302	11	Endo
303	10	Olig
304	2	ExcitatoryL6
305	6	Vip
306	14	Other
307	13	Astro
308	1	ExcitatoryL2and3
309	10	Olig
310	2	ExcitatoryL6
311	11	Endo
312	14	Other
313	13	Astro
314	1	ExcitatoryL2and3
315	0	ExcitatoryL4
316	3	ExcitatoryL6
317	2	ExcitatoryL6
318	2	ExcitatoryL6
319	11	Endo
320	1	ExcitatoryL2and3
321	11	Endo
322	10	Olig
323	10	Olig
324	13	Astro
325	2	ExcitatoryL6
326	10	Olig
327	2	ExcitatoryL6
328	0	ExcitatoryL4
329	13	Astro
330	11	Endo
331	7	Pvalb
332	2	ExcitatoryL6
333	8	Sst
334	10	Olig
335	10	Olig
336	2	ExcitatoryL6
337	11	Endo
338	11	Endo
339	0	ExcitatoryL4
340	1	ExcitatoryL2and3
341	10	Olig
342	11	Endo
343	0	ExcitatoryL4
344	3	ExcitatoryL6
345	2	ExcitatoryL6
346	0	ExcitatoryL4
347	1	ExcitatoryL2and3
348	0	ExcitatoryL4
349	3	ExcitatoryL6
350	2	ExcitatoryL6
351	3	ExcitatoryL6
352	13	Astro
353	10	Olig
354	13	Astro
355	1	ExcitatoryL2and3
356	4	ExcitatoryL5
357	6	Vip
358	4	ExcitatoryL5
359	1	ExcitatoryL2and3
360	13	Astro
361	13	Astro
362	7	Pvalb
363	0	ExcitatoryL4
364	11	Endo
365	11	Endo
366	0	ExcitatoryL4
367	4	ExcitatoryL5
368	10	Olig
369	7	Pvalb
370	6	Vip
371	4	ExcitatoryL5
372	1	ExcitatoryL2and3
373	13	Astro
374	2	ExcitatoryL6
375	13	Astro
376	0	ExcitatoryL4
377	1	ExcitatoryL2and3
378	4	ExcitatoryL5
379	0	ExcitatoryL4
380	2	ExcitatoryL6
381	1	ExcitatoryL2and3
382	0	ExcitatoryL4
383	11	Endo
384	11	Endo
385	1	ExcitatoryL2and3
386	4	ExcitatoryL5
387	5	HPC
388	12	Micro
389	1	ExcitatoryL2and3
390	10	Olig
391	3	ExcitatoryL6
392	10	Olig
393	3	ExcitatoryL6
394	10	Olig
395	2	ExcitatoryL6
396	10	Olig
397	14	Other
398	0	ExcitatoryL4
399	2	ExcitatoryL6
400	2	ExcitatoryL6
401	5	HPC
402	0	ExcitatoryL4
403	1	ExcitatoryL2and3
404	10	Olig
405	11	Endo
406	7	Pvalb
407	2	ExcitatoryL6
408	0	ExcitatoryL4
409	14	Other
410	2	ExcitatoryL6
411	9	Npy
412	3	ExcitatoryL6
413	12	Micro
414	4	ExcitatoryL5
415	4	ExcitatoryL5
416	3	ExcitatoryL6
417	1	ExcitatoryL2and3
418	1	ExcitatoryL2and3
419	1	ExcitatoryL2and3
420	13	Astro
421	10	Olig
422	1	ExcitatoryL2and3
423	2	ExcitatoryL6
424	12	Micro
425	11	Endo
426	13	Astro
427	7	Pvalb
428	11	Endo
429	10	Olig
430	13	Astro
431	2	ExcitatoryL6
432	3	ExcitatoryL6
433	6	Vip
434	11	Endo
435	0	ExcitatoryL4
436	8	Sst
437	2	ExcitatoryL6
438	0	ExcitatoryL4
439	10	Olig
440	2	ExcitatoryL6
441	11	Endo
442	1	ExcitatoryL2and3
443	13	Astro
444	13	Astro
445	6	Vip
446	11	Endo
447	13	Astro
448	0	ExcitatoryL4
449	10	Olig
450	11	Endo
451	6	Vip
452	10	Olig
453	1	ExcitatoryL2and3
454	10	Olig
455	8	Sst
456	11	Endo
457	3	ExcitatoryL6
458	1	ExcitatoryL2and3
459	10	Olig
460	7	Pvalb
461	1	ExcitatoryL2and3
462	2	ExcitatoryL6
463	2	ExcitatoryL6
464	12	Micro
465	1	ExcitatoryL2and3
466	11	Endo
467	0	ExcitatoryL4
468	7	Pvalb
469	2	ExcitatoryL6
470	5	HPC
471	8	Sst
472	2	ExcitatoryL6
473	2	ExcitatoryL6
474	7	Pvalb
475	1	ExcitatoryL2and3
476	1	ExcitatoryL2and3
477	0	ExcitatoryL4
478	10	Olig
479	2	ExcitatoryL6
480	10	Olig
481	1	ExcitatoryL2and3
482	10	Olig
483	0	ExcitatoryL4
484	1	ExcitatoryL2and3
485	14	Other
486	10	Olig
487	2	ExcitatoryL6
488	13	Astro
489	11	Endo
490	9	Npy
491	2	ExcitatoryL6
492	0	ExcitatoryL4
493	4	ExcitatoryL5
494	0	ExcitatoryL4
495	10	Olig
496	0	ExcitatoryL4
497	2	ExcitatoryL6
498	1	ExcitatoryL2and3
499	2	ExcitatoryL6
500	10	Olig
501	2	ExcitatoryL6
502	1	ExcitatoryL2and3
503	0	ExcitatoryL4
504	11	Endo
505	13	Astro
506	1	ExcitatoryL2and3
507	3	ExcitatoryL6
508	0	ExcitatoryL4
509	13	Astro
510	1	ExcitatoryL2and3
511	2	ExcitatoryL6
512	2	ExcitatoryL6
513	0	ExcitatoryL4
514	11	Endo
515	13	Astro
516	0	ExcitatoryL4
517	0	ExcitatoryL4
518	0	ExcitatoryL4
519	1	ExcitatoryL2and3
520	12	Micro
521	2	ExcitatoryL6
522	13	Astro
523	1	ExcitatoryL2and3
524	13	Astro
525	10	Olig
526	4	ExcitatoryL5
527	1	ExcitatoryL2and3
528	2	ExcitatoryL6
529	0	ExcitatoryL4
530	1	ExcitatoryL2and3
531	5	HPC
532	11	Endo
533	1	ExcitatoryL2and3
534	2	ExcitatoryL6
535	0	ExcitatoryL4
536	10	Olig
537	11	Endo
538	0	ExcitatoryL4
539	14	Other
540	1	ExcitatoryL2and3
541	4	ExcitatoryL5
542	0	ExcitatoryL4
543	0	ExcitatoryL4
544	0	ExcitatoryL4
545	2	ExcitatoryL6
546	13	Astro
547	13	Astro
548	11	Endo
549	0	ExcitatoryL4
550	13	Astro
551	1	ExcitatoryL2and3
552	2	ExcitatoryL6
553	2	ExcitatoryL6
554	10	Olig
555	0	ExcitatoryL4
556	8	Sst
557	2	ExcitatoryL6
558	13	Astro
559	10	Olig
560	14	Other
561	0	ExcitatoryL4
562	6	Vip
563	1	ExcitatoryL2and3
564	2	ExcitatoryL6
565	1	ExcitatoryL2and3
566	13	Astro
567	0	ExcitatoryL4
568	1	ExcitatoryL2and3
569	1	ExcitatoryL2and3
570	1	ExcitatoryL2and3
571	10	Olig
572	10	Olig
573	0	ExcitatoryL4
574	12	Micro
575	2	ExcitatoryL6
576	4	ExcitatoryL5
577	13	Astro
578	1	ExcitatoryL2and3
579	3	ExcitatoryL6
580	4	ExcitatoryL5
581	8	Sst
582	4	ExcitatoryL5
583	1	ExcitatoryL2and3
584	1	ExcitatoryL2and3
585	4	ExcitatoryL5
586	4	ExcitatoryL5
587	14	Other
588	10	Olig
589	1	ExcitatoryL2and3
590	1	ExcitatoryL2and3
591	10	Olig
592	10	Olig
593	13	Astro
594	11	Endo
595	0	ExcitatoryL4
596	1	ExcitatoryL2and3
597	0	ExcitatoryL4
598	2	ExcitatoryL6
599	2	ExcitatoryL6
600	14	Other
601	13	Astro
602	13	Astro
603	14	Other
604	10	Olig
605	2	ExcitatoryL6
606	4	ExcitatoryL5
607	1	ExcitatoryL2and3
608	10	Olig
609	1	ExcitatoryL2and3
610	1	ExcitatoryL2and3
611	0	ExcitatoryL4
612	3	ExcitatoryL6
613	3	ExcitatoryL6
614	10	Olig
615	3	ExcitatoryL6
616	1	ExcitatoryL2and3
617	11	Endo
618	10	Olig
619	13	Astro
620	4	ExcitatoryL5
621	10	Olig
622	4	ExcitatoryL5
623	1	ExcitatoryL2and3
624	7	Pvalb
625	13	Astro
626	1	ExcitatoryL2and3
627	0	ExcitatoryL4
628	0	ExcitatoryL4
629	13	Astro
630	10	Olig
631	5	HPC
632	0	ExcitatoryL4
633	0	ExcitatoryL4
634	10	Olig
635	4	ExcitatoryL5
636	10	Olig
637	0	ExcitatoryL4
638	11	Endo
639	10	Olig
640	4	ExcitatoryL5
641	14	Other
642	10	Olig
643	10	Olig
644	9	Npy
645	14	Other
646	1	ExcitatoryL2and3
647	2	ExcitatoryL6
648	14	Other
649	2	ExcitatoryL6
650	2	ExcitatoryL6
651	11	Endo
652	1	ExcitatoryL2and3
653	10	Olig
654	7	Pvalb
655	1	ExcitatoryL2and3
656	10	Olig
657	13	Astro
658	13	Astro
659	11	Endo
660	2	ExcitatoryL6
661	0	ExcitatoryL4
662	0	ExcitatoryL4
663	10	Olig
664	2	ExcitatoryL6
665	0	ExcitatoryL4
666	7	Pvalb
667	10	Olig
668	1	ExcitatoryL2and3
669	0	ExcitatoryL4
670	9	Npy
671	0	ExcitatoryL4
672	4	ExcitatoryL5
673	10	Olig
674	7	Pvalb
675	8	Sst
676	2	ExcitatoryL6
677	0	ExcitatoryL4
678	10	Olig
679	12	Micro
680	1	ExcitatoryL2and3
681	12	Micro
682	13	Astro
683	2	ExcitatoryL6
684	4	ExcitatoryL5
685	8	Sst
686	3	ExcitatoryL6
687	10	Olig
688	0	ExcitatoryL4
689	1	ExcitatoryL2and3
690	1	ExcitatoryL2and3
691	3	ExcitatoryL6
692	14	Other
693	3	ExcitatoryL6
694	10	Olig
695	14	Other
696	10	Olig
697	2	ExcitatoryL6
698	10	Olig
699	10	Olig
700	0	ExcitatoryL4
701	3	ExcitatoryL6
702	11	Endo
703	2	ExcitatoryL6
704	4	ExcitatoryL5
705	13	Astro
706	0	ExcitatoryL4
707	2	ExcitatoryL6
708	11	Endo
709	4	ExcitatoryL5
710	11	Endo
711	1	ExcitatoryL2and3
712	2	ExcitatoryL6
713	2	ExcitatoryL6
714	10	Olig
715	11	Endo
716	0	ExcitatoryL4
717	10	Olig
718	13	Astro
719	1	ExcitatoryL2and3
720	10	Olig
721	0	ExcitatoryL4
722	14	Other
723	11	Endo
724	4	ExcitatoryL5
725	10	Olig
726	2	ExcitatoryL6
727	0	ExcitatoryL4
728	4	ExcitatoryL5
729	4	ExcitatoryL5
730	13	Astro
731	13	Astro
732	10	Olig
733	13	Astro
734	1	ExcitatoryL2and3
735	3	ExcitatoryL6
736	8	Sst
737	10	Olig
738	11	Endo
739	3	ExcitatoryL6
740	13	Astro
741	1	ExcitatoryL2and3
742	3	ExcitatoryL6
743	0	ExcitatoryL4
744	0	ExcitatoryL4
745	10	Olig
746	0	ExcitatoryL4
747	2	ExcitatoryL6
748	11	Endo
749	0	ExcitatoryL4
750	1	ExcitatoryL2and3
751	13	Astro
752	4	ExcitatoryL5
753	0	ExcitatoryL4
754	3	ExcitatoryL6
755	11	Endo
756	0	ExcitatoryL4
757	2	ExcitatoryL6
758	10	Olig
759	1	ExcitatoryL2and3
760	1	ExcitatoryL2and3
761	1	ExcitatoryL2and3
762	11	Endo
763	2	ExcitatoryL6
764	13	Astro
765	10	Olig
766	0	ExcitatoryL4
767	11	Endo
768	2	ExcitatoryL6
769	7	Pvalb
770	4	ExcitatoryL5
771	0	ExcitatoryL4
772	14	Other
773	13	Astro
774	4	ExcitatoryL5
775	10	Olig
776	11	Endo
777	0	ExcitatoryL4
778	4	ExcitatoryL5
779	1	ExcitatoryL2and3
780	1	ExcitatoryL2and3
781	4	ExcitatoryL5
782	1	ExcitatoryL2and3
783	13	Astro
784	2	ExcitatoryL6
785	4	ExcitatoryL5
786	0	ExcitatoryL4
787	2	ExcitatoryL6
788	0	ExcitatoryL4
789	0	ExcitatoryL4
790	0	ExcitatoryL4
791	0	ExcitatoryL4
792	8	Sst
793	9	Npy
794	4	ExcitatoryL5
795	0	ExcitatoryL4
796	4	ExcitatoryL5
797	2	ExcitatoryL6
798	7	Pvalb
799	13	Astro
800	0	ExcitatoryL4
801	10	Olig
802	14	Other
803	1	ExcitatoryL2and3
804	1	ExcitatoryL2and3
805	10	Olig
806	10	Olig
807	11	Endo
808	13	Astro
809	0	ExcitatoryL4
810	2	ExcitatoryL6
811	14	Other
812	1	ExcitatoryL2and3
813	0	ExcitatoryL4
814	4	ExcitatoryL5
815	11	Endo
816	12	Micro
817	2	ExcitatoryL6
818	2	ExcitatoryL6
819	1	ExcitatoryL2and3
820	11	Endo
821	1	ExcitatoryL2and3
822	13	Astro
823	10	Olig
824	2	ExcitatoryL6
825	13	Astro
826	0	ExcitatoryL4
827	13	Astro
828	1	ExcitatoryL2and3
829	13	Astro
830	3	ExcitatoryL6
831	3	ExcitatoryL6
832	11	Endo
833	7	Pvalb
834	7	Pvalb
835	7	Pvalb
836	2	ExcitatoryL6
837	0	ExcitatoryL4
838	11	Endo
839	3	ExcitatoryL6
840	1	ExcitatoryL2and3
841	0	ExcitatoryL4
842	0	ExcitatoryL4
843	3	ExcitatoryL6
844	2	ExcitatoryL6
845	13	Astro
846	10	Olig
847	0	ExcitatoryL4
848	2	ExcitatoryL6
849	1	ExcitatoryL2and3
850	1	ExcitatoryL2and3
851	6	Vip
852	10	Olig
853	9	Npy
854	1	ExcitatoryL2and3
855	13	Astro
856	0	ExcitatoryL4
857	14	Other
858	12	Micro
859	2	ExcitatoryL6
860	1	ExcitatoryL2and3
861	7	Pvalb
862	4	ExcitatoryL5
863	4	ExcitatoryL5
864	6	Vip
865	10	Olig
866	3	ExcitatoryL6
867	1	ExcitatoryL2and3
868	0	ExcitatoryL4
869	5	HPC
870	0	ExcitatoryL4
871	10	Olig
872	0	ExcitatoryL4
873	1	ExcitatoryL2and3
874	10	Olig
875	11	Endo
876	11	Endo
877	0	ExcitatoryL4
878	10	Olig
879	8	Sst
880	11	Endo
881	10	Olig
882	13	Astro
883	2	ExcitatoryL6
884	10	Olig
885	2	ExcitatoryL6
886	2	ExcitatoryL6
887	2	ExcitatoryL6
888	4	ExcitatoryL5
889	1	ExcitatoryL2and3
890	13	Astro
891	0	ExcitatoryL4
892	0	ExcitatoryL4
893	1	ExcitatoryL2and3
894	10	Olig
895	10	Olig
896	10	Olig
897	1	ExcitatoryL2and3
898	1	ExcitatoryL2and3
899	1	ExcitatoryL2and3
900	3	ExcitatoryL6
901	11	Endo
902	1	ExcitatoryL2and3
903	8	Sst
904	1	ExcitatoryL2and3
905	0	ExcitatoryL4
906	0	ExcitatoryL4
907	14	Other
908	7	Pvalb
909	0	ExcitatoryL4
910	2	ExcitatoryL6
911	4	ExcitatoryL5
912	13	Astro
913	13	Astro
914	0	ExcitatoryL4
915	10	Olig
916	1	ExcitatoryL2and3
917	5	HPC
918	1	ExcitatoryL2and3
919	8	Sst
920	1	ExcitatoryL2and3
921	10	Olig
922	3	ExcitatoryL6
923	8	Sst
924	1	ExcitatoryL2and3
925	2	ExcitatoryL6
926	0	ExcitatoryL4
927	9	Npy
928	1	ExcitatoryL2and3
929	2	ExcitatoryL6
930	1	ExcitatoryL2and3
931	6	Vip
932	2	ExcitatoryL6
933	1	ExcitatoryL2and3
934	13	Astro
935	10	Olig
936	13	Astro
937	0	ExcitatoryL4
938	10	Olig
939	0	ExcitatoryL4
940	0	ExcitatoryL4
941	11	Endo
942	0	ExcitatoryL4
943	0	ExcitatoryL4
944	0	ExcitatoryL4
945	8	Sst
946	1	ExcitatoryL2and3
947	14	Other
948	10	Olig
949	12	Micro
950	2	ExcitatoryL6
951	2	ExcitatoryL6
952	13	Astro
953	0	ExcitatoryL4
954	1	ExcitatoryL2and3
955	13	Astro
956	7	Pvalb
957	10	Olig
958	2	ExcitatoryL6
959	13	Astro
960	4	ExcitatoryL5
961	2	ExcitatoryL6
962	13	Astro
963	1	ExcitatoryL2and3
964	13	Astro
965	0	ExcitatoryL4
966	13	Astro
967	4	ExcitatoryL5
968	11	Endo
969	2	ExcitatoryL6
970	7	Pvalb
971	13	Astro
972	11	Endo
973	1	ExcitatoryL2and3
974	2	ExcitatoryL6
975	14	Other
976	7	Pvalb
977	1	ExcitatoryL2and3
978	3	ExcitatoryL6
979	2	ExcitatoryL6
980	0	ExcitatoryL4
981	10	Olig
982	1	ExcitatoryL2and3
983	1	ExcitatoryL2and3
984	2	ExcitatoryL6
985	3	ExcitatoryL6
986	2	ExcitatoryL6
987	1	ExcitatoryL2and3
988	14	Other
989	1	ExcitatoryL2and3
990	1	ExcitatoryL2and3
991	0	ExcitatoryL4
992	2	ExcitatoryL6
993	0	ExcitatoryL4
994	1	ExcitatoryL2and3
995	9	Npy
996	13	Astro
997	10	Olig
998	13	Astro
999	9	Npy
1000	14	Other
1001	1	ExcitatoryL2and3
1002	10	Olig
1003	7	Pvalb
1004	2	ExcitatoryL6
1005	1	ExcitatoryL2and3
1006	0	ExcitatoryL4
1007	10	Olig
1008	7	Pvalb
1009	2	ExcitatoryL6
1010	10	Olig
1011	0	ExcitatoryL4
1012	3	ExcitatoryL6
1013	0	ExcitatoryL4
1014	1	ExcitatoryL2and3
1015	10	Olig
1016	2	ExcitatoryL6
1017	1	ExcitatoryL2and3
1018	1	ExcitatoryL2and3
1019	14	Other
1020	13	Astro
1021	10	Olig
1022	0	ExcitatoryL4
1023	10	Olig
1024	11	Endo
1025	8	Sst
1026	1	ExcitatoryL2and3
1027	2	ExcitatoryL6
1028	0	ExcitatoryL4
1029	1	ExcitatoryL2and3
1030	1	ExcitatoryL2and3
1031	13	Astro
1032	4	ExcitatoryL5
1033	0	ExcitatoryL4
1034	2	ExcitatoryL6
1035	1	ExcitatoryL2and3
1036	2	ExcitatoryL6
1037	13	Astro
1038	8	Sst
1039	3	ExcitatoryL6
1040	11	Endo
1041	11	Endo
1042	7	Pvalb
1043	2	ExcitatoryL6
1044	13	Astro
1045	1	ExcitatoryL2and3
1046	1	ExcitatoryL2and3
1047	3	ExcitatoryL6
1048	1	ExcitatoryL2and3
1049	10	Olig
1050	3	ExcitatoryL6
1051	1	ExcitatoryL2and3
1052	10	Olig
1053	2	ExcitatoryL6
1054	8	Sst
1055	2	ExcitatoryL6
1056	0	ExcitatoryL4
1057	2	ExcitatoryL6
1058	3	ExcitatoryL6
1059	11	Endo
1060	11	Endo
1061	3	ExcitatoryL6
1062	11	Endo
1063	3	ExcitatoryL6
1064	3	ExcitatoryL6
1065	1	ExcitatoryL2and3
1066	1	ExcitatoryL2and3
1067	10	Olig
1068	10	Olig
1069	2	ExcitatoryL6
1070	1	ExcitatoryL2and3
1071	8	Sst
1072	3	ExcitatoryL6
1073	2	ExcitatoryL6
1074	10	Olig
1075	2	ExcitatoryL6
1076	10	Olig
1077	2	ExcitatoryL6
1078	4	ExcitatoryL5
1079	0	ExcitatoryL4
1080	1	ExcitatoryL2and3
1081	1	ExcitatoryL2and3
1082	2	ExcitatoryL6
1083	2	ExcitatoryL6
1084	1	ExcitatoryL2and3
1085	12	Micro
1086	1	ExcitatoryL2and3
1087	2	ExcitatoryL6
1088	4	ExcitatoryL5
1089	13	Astro
1090	12	Micro
1091	3	ExcitatoryL6
1092	11	Endo
1093	1	ExcitatoryL2and3
1094	0	ExcitatoryL4
1095	2	ExcitatoryL6
1096	1	ExcitatoryL2and3
1097	1	ExcitatoryL2and3
1098	2	ExcitatoryL6
1099	0	ExcitatoryL4
1100	10	Olig
1101	2	ExcitatoryL6
1102	13	Astro
1103	9	Npy
1104	13	Astro
1105	10	Olig
1106	11	Endo
1107	1	ExcitatoryL2and3
1108	13	Astro
1109	1	ExcitatoryL2and3
1110	10	Olig
1111	4	ExcitatoryL5
1112	7	Pvalb
1113	1	ExcitatoryL2and3
1114	4	ExcitatoryL5
1115	10	Olig
1116	0	ExcitatoryL4
1117	2	ExcitatoryL6
1118	11	Endo
1119	1	ExcitatoryL2and3
1120	13	Astro
1121	0	ExcitatoryL4
1122	1	ExcitatoryL2and3
1123	10	Olig
1124	0	ExcitatoryL4
1125	0	ExcitatoryL4
1126	2	ExcitatoryL6
1127	4	ExcitatoryL5
1128	13	Astro
1129	1	ExcitatoryL2and3
1130	3	ExcitatoryL6
1131	2	ExcitatoryL6
1132	0	ExcitatoryL4
1133	13	Astro
1134	8	Sst
1135	1	ExcitatoryL2and3
1136	1	ExcitatoryL2and3
1137	13	Astro
1138	2	ExcitatoryL6
1139	0	ExcitatoryL4
1140	4	ExcitatoryL5
1141	8	Sst
1142	0	ExcitatoryL4
1143	0	ExcitatoryL4
1144	4	ExcitatoryL5
1145	0	ExcitatoryL4
1146	11	Endo
1147	13	Astro
1148	10	Olig
1149	0	ExcitatoryL4
1150	11	Endo
1151	1	ExcitatoryL2and3
1152	1	ExcitatoryL2and3
1153	2	ExcitatoryL6
1154	7	Pvalb
1155	1	ExcitatoryL2and3
1156	13	Astro
1157	13	Astro
1158	10	Olig
1159	2	ExcitatoryL6
1160	0	ExcitatoryL4
1161	13	Astro
1162	2	ExcitatoryL6
1163	10	Olig
1164	4	ExcitatoryL5
1165	7	Pvalb
1166	1	ExcitatoryL2and3
1167	2	ExcitatoryL6
1168	1	ExcitatoryL2and3
1169	1	ExcitatoryL2and3
1170	2	ExcitatoryL6
1171	1	ExcitatoryL2and3
1172	15	Smc
1173	10	Olig
1174	1	ExcitatoryL2and3
1175	2	ExcitatoryL6
1176	3	ExcitatoryL6
1177	13	Astro
1178	1	ExcitatoryL2and3
1179	3	ExcitatoryL6
